Year,Fossil Fuels Coal Billion Kilowatthours,Fossil Fuels Petroleum Billion Kilowatthours,Fossil Fuels Natural Gas Billion Kilowatthours,Fossil Fuels Other Gases Billion Kilowatthours,Fossil Fuels Total Billion Kilowatthours,Nuclear Electric Power Billion Kilowatthours,Hydro- electric Pumped Storage Billion Kilowatthours,Renewable Energy Conventional Hydroelectric Power Billion Kilowatthours,Renewable Energy Biomass Wood Billion Kilowatthours,Renewable Energy Biomass Waste Billion Kilowatthours,Renewable Energy Geo- thermal Billion Kilowatthours,Renewable Energy Solar/PV Billion Kilowatthours,Renewable Energy Wind Billion Kilowatthours,Renewable Energy Total Billion Kilowatthours,Other Billion Kilowatthours,Total Billion Kilowatthours
2011,1734.3,28.2,1016.6,11.3,2790.3,790.2,-5.9,325.1,36.9,19.8,16.7,1.8,119.7,520.1,11.1,4105.7
2010,1847.3,37.1,987.7,11.3,2883.4,807,-5.5,260.2,37.2,18.9,15.2,1.2,94.7,427.4,12.9,4125.1
2009,1755.9,38.9,921,10.6,2726.5,798.9,-4.6,273.4,36.1,18.4,15,0.9,73.9,417.7,11.9,3950.3
2008,1985.8,46.2,883,11.7,2926.7,806.2,-6.3,254.8,37.3,17.7,14.8,0.9,55.4,380.9,11.8,4119.4
2007,2016.5,65.7,896.6,13.5,2992.2,806.4,-6.9,247.5,39,16.5,14.6,0.6,34.4,352.7,12.2,4156.7
2006,1990.5,64.2,816.4,14.2,2885.3,787.2,-6.6,289.2,38.8,16.1,14.6,0.5,26.6,385.8,13,4064.7
2005,2012.9,122.2,761,13.5,2909.5,782,-6.6,270.3,38.9,15.4,14.7,0.6,17.8,357.7,12.8,4055.4
2004,1978.3,121.1,710.1,15.3,2824.8,788.5,-8.5,268.4,38.1,15.4,14.8,0.6,14.1,351.5,14.2,3970.6
2003,1973.7,119.4,649.9,15.6,2758.6,763.7,-8.5,275.8,37.5,15.8,14.4,0.5,11.2,355.3,14,3883.2
2002,1933.1,94.6,691,11.5,2730.2,780.1,-8.7,264.3,38.7,15,14.5,0.6,10.4,343.4,13.5,3858.5
2001,1904,124.9,639.1,9,2677,768.8,-8.8,217,35.2,14.5,13.7,0.5,6.7,287.7,11.9,3736.6
2000,1966.3,111.2,601,14,2692.5,753.9,-5.5,275.6,37.6,23.1,14.1,0.5,5.6,356.5,4.8,3802.1
1999,1881.1,118.1,556.4,14.1,2569.7,728.3,-6.1,319.5,37,22.6,14.8,0.5,4.5,399,4,3694.8
1998,1873.5,128.8,531.3,13.5,2547.1,673.7,-4.5,323.3,36.3,22.4,14.8,0.5,3,400.4,3.6,3620.3
1997,1845,92.6,479.4,13.4,2430.3,628.6,-4,356.5,36.9,21.7,14.7,0.5,3.3,433.6,3.6,3492.2
1996,1795.2,81.4,455.1,14.4,2346,674.7,-3.1,347.2,36.8,20.9,14.3,0.5,3.2,423,3.6,3444.2
1995,1709.4,74.6,496.1,13.9,2293.9,673.4,-2.7,310.8,36.5,20.4,13.4,0.5,3.2,384.8,4.1,3353.5
1994,1690.7,105.9,460.2,13.3,2270.1,640.4,-3.4,260.1,37.9,19.1,15.5,0.5,3.4,336.7,3.7,3247.5
1993,1690.1,112.8,414.9,13,2230.7,610.3,-4,280.5,37.6,18.3,16.8,0.5,3,356.7,3.5,3197.2
1992,1621.2,100.2,404.1,13.3,2138.7,618.8,-4.2,253.1,36.5,17.8,16.1,0.4,2.9,326.9,3.7,3083.9
1991,1590.6,119.8,381.6,11.3,2103.3,612.6,-4.5,289,33.7,15.7,16,0.5,3,357.8,4.7,3073.8
1990,1594,126.5,372.8,10.4,2103.6,576.9,-3.5,292.9,32.5,13.3,15.4,0.4,2.8,357.2,3.6,3037.8
1989,1583.8,164.4,352.6,7.9,2108.6,529.4,,272,27.2,9.2,14.6,0.3,2.1,325.3,3.8,2967.1
1988,1540.7,148.9,252.8,,1942.4,527,,226.1,0.9,0.7,10.3,,,238.1,,2707.4
1987,1463.8,118.5,272.6,,1854.9,455.3,,252.9,0.8,0.7,10.8,,,265.1,,2575.3
1986,1385.8,136.6,248.5,,1770.9,414,,294,0.5,0.7,10.3,,,305.5,,2490.5
1985,1402.1,100.2,291.9,,1794.3,383.7,,284.3,0.7,0.6,9.3,,,295,,2473
1984,1341.7,119.8,297.4,,1758.9,327.6,,324.3,0.5,0.4,7.7,,,332.9,,2419.5
