date,Coal,Petroleum,Natural Gas,Other Gases,Fossil Fuels Total,Nuclear,Hydro- electric Pumped Storage,Conventional Hydroelectric Power,Biomass Wood,Biomass Waste,Geo- thermal,Solar/PV,Wind,Renewable Total,Other,Total,Nonrenewable Total,Renewable Percentage,Nonrenewable Percentage
1949-12-01,13550,2850,3700,0,20100,0,0,9480,40,0,0,0,0,9520,0,29610,20100,0.3215130023640662,0.6788247213779128
1950-12-01,15450,3370,4460,0,23280,0,0,10090,40,0,0,0,0,10130,0,33410,23280,0.30320263394193353,0.6967973660580664
1951-12-01,18520,2870,5660,0,27050,0,0,10440,40,0,0,0,0,10480,0,37530,27050,0.27924327204902744,0.7207567279509726
1952-12-01,19540,2970,6850,0,29360,0,0,10970,50,0,0,0,0,11020,0,40380,29360,0.27290737989103514,0.7270926201089648
1953-12-01,21880,3840,7980,0,33700,0,0,10960,40,0,0,0,0,11000,0,44700,33700,0.24608501118568232,0.7539149888143176
1954-12-01,23910,3150,9370,0,36440,0,0,11160,30,0,0,0,0,11190,0,47630,36440,0.23493596472811254,0.7650640352718875
1955-12-01,30140,3710,9530,0,43380,0,0,11620,30,0,0,0,0,11650,0,55030,43380,0.2117027076140287,0.7882972923859712
1956-12-01,33850,3590,10400,0,47850,0,0,12520,20,0,0,0,0,12540,0,60390,47850,0.20765027322404372,0.7923497267759563
1957-12-01,34640,4050,11420,0,50110,0,0,13340,20,0,0,0,0,13350,0,63460,50110,0.21036873621178695,0.789631263788213
1958-12-01,34440,4040,11980,0,50450,20,0,14360,20,0,0,0,0,14380,0,64850,50470,0.22174248265227448,0.7782575173477255
1959-12-01,37840,4680,14660,0,57190,20,0,14120,20,0,0,0,0,14130,0,71340,57210,0.19806560134566864,0.8019343986543314
1960-12-01,40310,4800,15800,0,60900,50,0,14940,10,0,0,0,0,14960,0,75920,60950,0.1970495258166491,0.8028187565858799
1961-12-01,42190,4850,16930,0,63970,170,0,15550,10,0,10,0,0,15580,0,79710,64140,0.19545853719734035,0.8046669175762138
1962-12-01,45020,4890,18430,0,68340,230,0,17200,10,0,10,0,0,17220,0,85790,68570,0.2007226949527917,0.7992773050472083
1963-12-01,49390,5200,20160,0,74750,320,0,16900,10,0,20,0,0,16930,0,92000,75070,0.1840217391304348,0.8159782608695653
1964-12-01,52620,5700,22000,0,80320,330,0,18030,10,0,20,0,0,18070,0,98720,80650,0.18304294975688817,0.8169570502431118
