date,Total(minus solar),Coal,Petroleum Liquids,Petroleum Coke,Natural Gas,Other Gases,Nuclear,Conventional Hydroelectric Power,other renewables,Wind,all utility-scale solar,Geo- thermal,Biomass Total,Biomass Wood,Biomass Waste,Hydro- electric Pumped Storage,Other,Solar/PV,small-scale solar photovoltaic,all utility-scale solar.1,Petroleum,Renewable Total,Nonrenewable Total,Total,Renewable Percentage,Nonrenewable Percentage
2001-01-01,332493.0,177287.0,17300.0,812.0,42389.0,718.0,68707.0,18852.0,0.0,389.0,7.0,1229.0,4400.0,3191.0,1209.0,-589.0,992.0,0.0,0.0,7.0,18112.0,24870.0,307213.0,333075.0,0.07466786759738797,0.9223538242137657
2001-02-01,282940.0,149735.0,9626.0,716.0,37967.0,676.0,61272.0,17473.0,0.0,431.0,13.0,1073.0,3793.0,2697.0,1096.0,-707.0,872.0,0.0,0.0,13.0,10342.0,22770.0,259992.0,283634.0,0.08027951514980573,0.9166461002559637
2001-03-01,300707.0,155269.0,10981.0,752.0,44364.0,769.0,62141.0,20477.0,0.0,532.0,31.0,1190.0,4042.0,2853.0,1189.0,-773.0,931.0,0.0,0.0,31.0,11733.0,26241.0,274276.0,301448.0,0.0870498394416284,0.9098617340304133
2001-04-01,278079.0,140671.0,10237.0,627.0,45843.0,698.0,56003.0,18013.0,0.0,685.0,39.0,1095.0,4008.0,2821.0,1187.0,-796.0,957.0,0.0,0.0,39.0,10864.0,23801.0,254079.0,278837.0,0.08535811244562236,0.9112097748864032
2001-05-01,300492.0,151593.0,9641.0,749.0,50934.0,785.0,61512.0,19176.0,0.0,635.0,81.0,1071.0,3951.0,2740.0,1211.0,-623.0,986.0,0.0,0.0,81.0,10390.0,24833.0,275214.0,301033.0,0.08249261708849195,0.914231994498942
2001-06-01,327694.0,162616.0,10997.0,825.0,57603.0,733.0,68023.0,20728.0,0.0,670.0,91.0,1088.0,4116.0,2891.0,1225.0,-774.0,978.0,0.0,0.0,91.0,11822.0,26602.0,300797.0,328377.0,0.08101054580558321,0.916011170088039
2001-07-01,357614.0,179060.0,10050.0,992.0,73030.0,840.0,69166.0,18079.0,0.0,635.0,92.0,1179.0,4339.0,3053.0,1286.0,-871.0,1022.0,0.0,0.0,92.0,11042.0,24232.0,333138.0,358392.0,0.06761311636420456,0.9295352574834259
2001-08-01,370533.0,183116.0,13235.0,994.0,78410.0,848.0,68389.0,18914.0,0.0,577.0,85.0,1167.0,4464.0,3179.0,1285.0,-715.0,1048.0,0.0,0.0,85.0,14229.0,25122.0,344992.0,371162.0,0.06768473065669438,0.9294917044309493
2001-09-01,306929.0,154158.0,6432.0,911.0,60181.0,767.0,63378.0,15256.0,0.0,490.0,65.0,1139.0,4076.0,2874.0,1201.0,-928.0,1004.0,0.0,0.0,65.0,7343.0,20961.0,285827.0,307792.0,0.06810118521599003,0.9286368716535842
2001-10-01,294734.0,148931.0,5573.0,961.0,56376.0,737.0,60461.0,15235.0,0.0,607.0,21.0,1162.0,4261.0,3046.0,1215.0,-615.0,1025.0,0.0,0.0,21.0,6534.0,21265.0,273039.0,295329.0,0.07200444250310671,0.9245248519447802
